Age, Workclass, Years of Education, Occupation, Relationship, Race, Sex, Hours Work per Week, Income
39,7,13,1,2,2,0,40,0
50,6,13,4,2,2,0,13,0
38,4,9,6,2,2,0,40,0
53,4,7,6,1,1,0,40,0
28,4,13,10,1,1,1,40,0
37,4,14,4,2,2,1,40,0
49,4,5,8,1,1,1,16,0
52,6,9,4,2,2,0,45,1
31,4,14,10,2,2,1,50,1
42,4,13,4,2,2,0,40,1
37,4,10,4,1,1,0,80,1
30,7,13,10,4,4,0,40,1
23,4,13,1,2,2,1,30,0
32,4,12,12,1,1,0,50,0
40,4,11,3,4,4,0,40,1
34,4,4,14,3,3,0,45,0
25,6,9,5,2,2,0,35,0
32,4,9,7,2,2,0,40,0
38,4,7,12,2,2,0,50,0
43,6,14,4,2,2,1,45,1
40,4,16,10,2,2,0,60,1
54,4,9,8,1,1,1,20,0
35,1,5,5,1,1,0,40,0
43,4,7,14,2,2,0,40,0
59,4,9,13,2,2,1,40,0
56,2,13,13,2,2,0,40,1
19,4,9,3,2,2,0,40,0
39,4,9,4,2,2,0,80,0
49,4,9,3,2,2,0,40,0
23,2,12,11,2,2,0,52,0
20,4,10,12,1,1,0,44,0
45,4,13,4,2,2,0,40,0
30,1,10,1,2,2,0,40,0
22,7,10,8,1,1,0,15,0
48,4,7,7,2,2,0,40,0
21,4,10,7,2,2,0,40,0
19,4,9,1,2,2,1,25,0
31,4,10,12,2,2,0,38,1
48,6,12,10,2,2,0,40,0
31,4,5,7,2,2,0,43,0
53,6,13,10,2,2,0,40,0
24,4,13,13,2,2,0,50,0
49,4,9,1,2,2,1,40,0
25,4,9,6,2,2,0,35,0
57,1,13,10,1,1,0,40,1
53,4,9,7,2,2,0,38,0
44,4,14,4,2,2,1,40,0
41,7,11,3,2,2,0,40,0
29,4,11,10,2,2,0,43,0
25,4,10,4,3,2,1,40,0
18,4,9,8,2,2,1,30,0
47,4,15,10,2,2,1,60,1
50,1,13,4,2,2,0,55,1
47,5,9,4,2,2,0,60,0
43,4,10,13,2,2,0,40,1
46,4,3,7,2,2,0,40,0
35,4,11,8,2,2,0,40,0
41,4,9,1,2,2,0,48,0
30,4,9,7,2,2,0,40,0
30,4,13,12,2,2,0,40,0
48,4,9,14,2,2,0,40,0
42,4,16,10,2,2,0,45,1
29,4,10,13,2,2,0,58,0
36,4,9,3,2,2,0,40,0
28,4,10,1,2,2,1,40,0
53,4,9,1,2,2,1,40,1
49,5,10,4,2,2,0,50,1
19,4,10,10,2,2,0,32,0
31,4,13,12,1,1,1,40,0
29,6,13,12,2,2,0,70,1
23,4,10,7,2,2,0,40,0
79,4,10,10,2,2,0,20,0
27,4,9,8,2,2,0,40,0
40,4,12,1,2,2,0,40,0
18,4,7,8,2,2,1,22,0
31,2,4,5,2,2,0,40,0
18,4,9,12,2,2,0,30,0
52,4,13,8,2,2,0,40,0
46,4,9,8,2,2,1,40,0
59,4,9,12,2,2,0,48,0
44,4,9,3,2,2,1,40,1
53,4,9,12,2,2,1,35,0
49,2,9,11,2,2,0,40,1
33,4,14,10,2,2,0,50,0
30,4,5,12,2,2,0,40,0
43,1,16,10,2,2,1,50,1
57,4,11,10,2,2,0,40,0
37,4,10,3,2,2,1,40,0
28,4,10,7,1,1,1,25,0
30,4,9,12,4,4,1,35,0
34,2,13,11,2,2,0,40,1
29,2,10,6,2,2,0,50,0
