Age, Workclass, Education, Years of Education, Marital Status, Occupation, Relationship, Race, Sex, Hours Work per Week, Income
39,7,10,13,5, Adm-clerical, Not-in-family, White, Male,40,0
50,6,10,13,3, Exec-managerial, Husband, White, Male,13,0
38,4,12,9,1, Handlers-cleaners, Not-in-family, White, Male,40,0
53,4,2,7,3, Handlers-cleaners, Husband, Black, Male,40,0
28,4,10,13,3, Prof-specialty, Wife, Black, Female,40,0
37,4,13,14,3, Exec-managerial, Wife, White, Female,40,0
49,4,7,5,4, Other-service, Not-in-family, Black, Female,16,0
52,6,12,9,3, Exec-managerial, Husband, White, Male,45,1
31,4,13,14,5, Prof-specialty, Not-in-family, White, Female,50,1
42,4,10,13,3, Exec-managerial, Husband, White, Male,40,1
37,4,16,10,3, Exec-managerial, Husband, Black, Male,80,1
30,7,10,13,3, Prof-specialty, Husband, Asian-Pac-Islander, Male,40,1
23,4,10,13,5, Adm-clerical, Own-child, White, Female,30,0
32,4,8,12,5, Sales, Not-in-family, Black, Male,50,0
40,4,9,11,3, Craft-repair, Husband, Asian-Pac-Islander, Male,40,1
34,4,6,4,3, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45,0
25,6,12,9,5, Farming-fishing, Own-child, White, Male,35,0
32,4,12,9,5, Machine-op-inspct, Unmarried, White, Male,40,0
38,4,2,7,3, Sales, Husband, White, Male,50,0
43,6,13,14,1, Exec-managerial, Unmarried, White, Female,45,1
40,4,11,16,3, Prof-specialty, Husband, White, Male,60,1
54,4,12,9,6, Other-service, Unmarried, Black, Female,20,0
35,1,7,5,3, Farming-fishing, Husband, Black, Male,40,0
43,4,2,7,3, Transport-moving, Husband, White, Male,40,0
59,4,12,9,1, Tech-support, Unmarried, White, Female,40,0
56,2,10,13,3, Tech-support, Husband, White, Male,40,1
19,4,12,9,5, Craft-repair, Own-child, White, Male,40,0
39,4,12,9,1, Exec-managerial, Not-in-family, White, Male,80,0
49,4,12,9,3, Craft-repair, Husband, White, Male,40,0
23,2,8,12,5, Protective-serv, Not-in-family, White, Male,52,0
20,4,16,10,5, Sales, Own-child, Black, Male,44,0
45,4,10,13,1, Exec-managerial, Own-child, White, Male,40,0
30,1,16,10,3, Adm-clerical, Own-child, White, Male,40,0
